"","Z036","Z034","Z035","Z037","Z038","Z039","Z074","Z067","Z040","Z041","Z042","Z043","Z044","Z045","Z046","Z047","Z048","Z077","Z049","Z051","Z052","Z054","Z055","Z056","Z057","Z058","Z076","Z078","Z059","Z060","Z061","Z062","Z063","Z065","Z068","Z079","Z069","Z071"
"1993/3/10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"1993/4/7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.6,0,0,0,0,0,0,0,0,0,0,0,26.3,0,0,0,0,0
"1993/5/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,92.5,0,0,0,0,0
"1993/6/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.5,0
"1993/7/7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1993/8/11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"1993/9/8",0,0,10,0,0,332.5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,267.5,0
"1993/10/6",0,0,17.5,0,0,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,577.5,0
"1993/11/10",0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.5,0,0,0,0,0,0,0,0,0,0,0,912.5,0,0,0,75,0
"1993/12/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,156.3,0,0,0,0,0,0,0,0,0,0,0,28.1,0,0,0,93.8,0
"1994/1/12",0,0,0,3.1,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,93.8,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0
"1994/2/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"1994/3/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0
"1994/4/6",0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,40,0,0,0,0,0,0,0,0,0,0,0,262.5,0,0,0,0,0
"1994/5/11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.5,0,0,0,0,0,0,0,0,0,0,0,48.8,0,0,0,30,0
"1994/6/8",0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,167.5,0,0,0,0,0,0,0,0,0,0,0,77.5,0,0,0,40,0
"1994/8/10",0,0,15,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,240,0,0,0,0,0,0,0,0,0,0,0,642.5,0,0,0,835,0
"1994/9/7",0,0,105,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,20,0,585,0,0,0,0,0,0,0,0,0,0,0,1320,0,0,0,1765,0
"1994/10/12",0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,555,0
"1994/11/9",0,0,92.5,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,140,0,0,0,0,0,0,0,0,0,0,0,597.5,0,0,0,7.5,0
"1994/12/7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,5,0
"1995/1/11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0
"1995/2/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1995/3/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
"1995/4/12",0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0
"1995/5/10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0,0,0,0
"1995/6/7",0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"1995/7/12",0,0,3.1,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,12.5,0
"1995/8/9",0,0,5,5,0,140,0,0,2.5,0,0,0,0,0,0,0,0,0,7.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,0,687.5,0
"1995/9/6",0,0,12.5,0,0,130,0,0,0,0,0,0,0,0,12.5,0,0,0,15,0,100,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,522.5,0
"1995/10/4",0,0,53.1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,378.1,0,0,0,0,0,0,0,0,0,0,0,340.6,0,0,0,190.6,0
"1995/11/8",0,0,37.5,0,0,6.3,0,0,0,0,0,0,0,0,12.5,0,0,0,3.1,0,25,0,0,0,0,0,0,0,0,0,0,0,509.4,0,0,0,56.3,0
"1995/12/6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1996/4/3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,4.5,0,0,0,0,0,0,0,0,0,0,0,51.7,0,0,0,1.3,0
"1996/5/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0
"1996/6/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704.5,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,114.4,0
"1996/8/7",0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12.1,0,192,0,0,0,0,0,0,0,0,0,0,0,359.8,0,0,0,230.4,0
"1996/9/11",0,179.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3077.1,0,0,0,0,0,0,0,0,0,0,0,473.4,0,0,0,492.3,0
"1996/10/8",0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,40.9,0,0,0,25.5,0
"1996/11/6",0,63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,53.3,0
"1996/12/11",0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.1,0,0,0,0,0,0,0,0,0,0,0,38.7,0,0,0,17.9,0
"1997/1/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0
"1997/2/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0
"1997/3/12",0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0
"1997/4/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0
"1997/5/7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"1997/6/11",0,5.3,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.4,0,0,0,0,0,0,0,0,0,0,0,108.5,0,0,0,45.7,0
"1997/7/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,29.8,0
"1997/8/6",0,0,3.2,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,102.1,0,0,0,0,0,0,0,0,0,0,0,169.1,0,0,0,2291.5,0
"1997/9/10",0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723.2,0,16.4,0,0,0,0,0,0,0,0,0,279.4,0,0,0,372.6,0
"1997/10/8",0,95.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,571.9,0,3.4,0,0,0,0,0,0,0,0,0,452.8,0,0,0,374.5,0
"1997/11/12",0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.7,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0,34.5,0
"1997/12/10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1.7,0,0,0,4.7,0
"1998/1/7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.1,0
"1998/2/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"1998/3/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1998/4/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
