"","Date","Station","Z002","Z003","Z004","Z005","Z006","Z007","Z008","Z009","Z011","Z010","Z080","Z012","Z013","Z014","Z015","Z018","Z019","Z020","Z021","Z022","Z023.1","Z023.2","Z023.3","Z024","Z025","Z026","Z027","Z028","Z030","Z032","Z036","Z034","Z035","Z037","Z038","Z039","Z074","Z067","Z040","Z041","Z042","Z043","Z044","Z045","Z046","Z047","Z048","Z077","Z049","Z051","Z052","Z054","Z055","Z056","Z057","Z058","Z076","Z078","Z059","Z060","Z061","Z062","Z063","Z065","Z068","Z079","Z069","Z071"
"197","1989/08/09",3,0,0,0,20.5,0,0,0,0,0,0,0,13.5,140,0,25,0,0,0,0.5,0,0,0,0,69,0,0,0,0,0.5,0,0,0,0,0,0,49.5,0,0.5,0,0,0,0,0,0,0,0,59.5,0,80,0,18.5,0,0,2.5,0,0,0,0,0,0,0,0,0,5.5,0,0,45,0
"199","1989/10/11",3,0,0,0,11,0,0,0,0,0,0,0,42,159,4,868,0,2,0,18,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,2,0,3,1,0,0,0,0,0,1,0,4,0,35,4,127,0,0,7,1,0,0,0,0,0,0,0,61,288,0,0,39,0
"201","1989/12/13",3,0,0,0,0,0,0,0,0,0,0,0,9,46,0,208,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,177,0,0,13,0,0,0,0,0,0,0,0,57,3,0,0,6,0
"202","1990/01/10",3,0,0,0,0,0,0,0,0,0,0,0,3,38,0,54,0,0,0,2,0,111,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,6,0,12,0,0,0
"203","1990/02/07",3,0,0,0,0,0,0,0,0,0,0,0,10,61,0,27,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,6,5,0,0,0
"204","1990/03/14",3,0,0,0,0,0,0,0,0,0,0,0,25,174,0,23,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,32,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,120,1,19,0,0,0
"205","1990/04/11",3,0,0,0,0,0,0,0,0,0,0,0,20,187,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,118,199,23,0,0,0
"206","1990/05/09",3,0,0,0,1,0,0,0,0,0,0,0,25,159,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,110,49,0,0,20,0
"207","1990/06/13",3,0,0,0,33,0,0,0,0,0,0,0,16,380,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,461,0,0,0,0,0,0,0,0,0,0,0,692,2,2,0,83,0
"208","1990/07/11",3,0,0,0,80,0,0,0,0,0,0,0,6,502,0,14,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,5,0,6,0,435,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,162,0
"209","1990/08/08",3,0,0,0,4,0,0,0,0,0,0,0,37,124,0,294,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,126,13,0,0,0,0,0,0,0,0,0,0,18,0,160,4,38,0,0,0,0,0,0,0,0,0,0,0,197,3,0,0,556,0
